name,address,phone,website,category,location
Urban Eatery,"Mkahawa ·  · PwC Tower, Ground Floor Delta Corner Estate, Chiromo Rd",N/A,N/A,restaurants,"Nairobi, Kenya"
The Collective Restaurant and Art Gallery,Mkahawa ·  · Utalii St,N/A,N/A,restaurants,"Nairobi, Kenya"
INTI - A Nikkei Experience,"Mkahawa ·  · 20th Floor One Africa Place, Waiyaki Wy",N/A,N/A,restaurants,"Nairobi, Kenya"
The carnivore restaurant,"Mkahawa ·  · Langata Rd,Nairobi West",N/A,N/A,restaurants,"Nairobi, Kenya"
About Thyme Restaurant,Mkahawa ·  · Eldama Ravine Rd,N/A,N/A,restaurants,"Nairobi, Kenya"
Harvest Restaurant,"Mkahawa ·  · Limuru Rd, Village Market",N/A,N/A,restaurants,"Nairobi, Kenya"
CJ's,Vyakula vya Kimagharibi ·  · Koinange St,N/A,N/A,restaurants,"Nairobi, Kenya"
Nairobi Street Kitchen,Mkahawa ·  · Mpaka Rd,N/A,N/A,restaurants,"Nairobi, Kenya"
Zen Garden,Mkahawa ·  · Lower Kabete Rd,N/A,N/A,restaurants,"Nairobi, Kenya"
Talisman,Mkahawa ·  · Ngong Rd,N/A,N/A,restaurants,"Nairobi, Kenya"
Inca Restaurant,"Mkahawa ·  · 154 James Gichuru Road The Social House, 154 James Gichuru Road",N/A,N/A,restaurants,"Nairobi, Kenya"
Mawimbi Seafood Restaurant,"Mkahawa wa Chakula cha baharini ·  · Longonot Place, Kijabe St",N/A,N/A,restaurants,"Nairobi, Kenya"
CJ'S - Kilimani,Panafaa kwa familia · ,N/A,N/A,restaurants,"Nairobi, Kenya"
Bambino - Kitchen & Bar,"Mkahawa ·  · Ground Floor, 9 West Building, Mkungu Close, Off Parklands Road",N/A,N/A,restaurants,"Nairobi, Kenya"
Fogo Gaucho Westlands,"Mkahawa wa Kibrazili ·  · Viking House, Ground Floor, Off Waiyaka Way",N/A,N/A,restaurants,"Nairobi, Kenya"
Mama Oliech Restaurant,Vyakula vya Kiafrika ·  · Marcus Garvey Rd,N/A,N/A,restaurants,"Nairobi, Kenya"
Sikia Restaurant,"Mkahawa ·  · MRX8+V48 Crowne Plaza Hotel, Kenya Rd",N/A,N/A,restaurants,"Nairobi, Kenya"
CRAVE KENYA - KILIMANI,Mkahawa ·  · Ring Rd Kilimani,N/A,N/A,restaurants,"Nairobi, Kenya"
Slate - Kitchen & Bar,"Mkahawa ·  · Skynest Residences by CityBlue, Ground floor Mkungu Cl",N/A,N/A,restaurants,"Nairobi, Kenya"
Shawarma Grill House,"Mkahawa wa shawarma · Junction, Buruburu Phase 5, Along Katulo Road, Mumias S Rd",N/A,N/A,restaurants,"Nairobi, Kenya"
,,N/A,N/A,restaurants,"Westlands, Nairobi"
,,N/A,N/A,restaurants,"Westlands, Nairobi"
,,N/A,N/A,restaurants,"Westlands, Nairobi"
,,N/A,N/A,restaurants,"Westlands, Nairobi"
,,N/A,N/A,restaurants,"Westlands, Nairobi"
,,N/A,N/A,restaurants,"Eastlands, Nairobi"
,,N/A,N/A,restaurants,"Eastlands, Nairobi"
,,N/A,N/A,restaurants,"Eastlands, Nairobi"
,,N/A,N/A,restaurants,"Eastlands, Nairobi"
,,N/A,N/A,restaurants,"Eastlands, Nairobi"
,,N/A,N/A,restaurants,"South B & C, Nairobi"
,,N/A,N/A,restaurants,"South B & C, Nairobi"
,,N/A,N/A,restaurants,"South B & C, Nairobi"
,,N/A,N/A,restaurants,"South B & C, Nairobi"
,,N/A,N/A,restaurants,"South B & C, Nairobi"
,,N/A,N/A,restaurants,"Kasarani, Nairobi"
,,N/A,N/A,restaurants,"Kasarani, Nairobi"
,,N/A,N/A,restaurants,"Kasarani, Nairobi"
,,N/A,N/A,restaurants,"Kasarani, Nairobi"
,,N/A,N/A,restaurants,"Kasarani, Nairobi"
,,N/A,N/A,restaurants,"Embakasi, Nairobi"
,,N/A,N/A,restaurants,"Embakasi, Nairobi"
,,N/A,N/A,restaurants,"Embakasi, Nairobi"
,,N/A,N/A,restaurants,"Embakasi, Nairobi"
,,N/A,N/A,restaurants,"Embakasi, Nairobi"
,,N/A,N/A,restaurants,"Langata, Nairobi"
,,N/A,N/A,restaurants,"Langata, Nairobi"
,,N/A,N/A,restaurants,"Langata, Nairobi"
,,N/A,N/A,restaurants,"Langata, Nairobi"
,,N/A,N/A,restaurants,"Langata, Nairobi"
,,N/A,N/A,restaurants,"Dagoretti, Nairobi"
,,N/A,N/A,restaurants,"Dagoretti, Nairobi"
,,N/A,N/A,restaurants,"Dagoretti, Nairobi"
,,N/A,N/A,restaurants,"Dagoretti, Nairobi"
,,N/A,N/A,restaurants,"Dagoretti, Nairobi"
,,N/A,N/A,restaurants,"Starehe, Nairobi"
,,N/A,N/A,restaurants,"Starehe, Nairobi"
,,N/A,N/A,restaurants,"Starehe, Nairobi"
,,N/A,N/A,restaurants,"Starehe, Nairobi"
,,N/A,N/A,restaurants,"Starehe, Nairobi"
,,N/A,N/A,restaurants,"Mathare, Nairobi"
,,N/A,N/A,restaurants,"Mathare, Nairobi"
,,N/A,N/A,restaurants,"Mathare, Nairobi"
,,N/A,N/A,restaurants,"Mathare, Nairobi"
,,N/A,N/A,restaurants,"Mathare, Nairobi"
